artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count;;;;;;;;
Ascion;0.054;0.846;430746.3333;0.616333333;0.796;0.25095;-10.65966667;0.175133333;125.3543333;0.358666667;0;6;1;6;;;;;;;;
Asedo;0.00637;0.578;271385;0.875;0.0288;0.439;-5.896;0.0678;129.994;0.335;1;7;1;2;;;;;;;;
Ash;0.002497748;0.34525;195698.625;0.9;0.229832253;0.27845;-4.46;0.0883625;142.3245;0.450625;19.75;9;1;16;;;;;;;;
Ash Costello;0.00704;0.376;211027;0.939;0;0.116;-3.437;0.0572;190.109;0.815;68;1;1;2;;;;;;;;
Ash Soul; Inc.;0.955;0.593;179228;0.381;0.741;0.213;-9.375;0.0325;123.603;0.586;22;8;0;2;;;;;;;
Asha Bhosle;0.9282;0.5549;231114.7921;0.357483684;0.215366422;0.213258158;-11.23304474;0.158529211;115.8936026;0.696936842;5.178947368;3;1;380;;;;;;;;
Asha Parekh;0.7415;0.5105;407063.5;0.316;6.45E-07;0.50345;-14.401;0.04895;121.125;0.69;25.5;6;1;4;;;;;;;;
Asha Posle;0.993;0.6705;194699;0.314;0.0003955;0.2325;-6.6375;0.0777;94.202;0.568;0;7;1;4;;;;;;;;
Asha Puthli;0.142;0.638;337320;0.432;0.019;0.213;-17.345;0.0754;98.932;0.693;39;10;0;2;;;;;;;;
Asha Rai;0.337;0.804;157440;0.47;0;0.0754;-9.408;0.103;98.061;0.76;0;10;0;1;;;;;;;;
Ashana;0.9835;0.131;576480;0.14935;0.28335;0.10205;-14.26;0.03775;76.332;0.038;54;1;1;4;;;;;;;;
Ashanti;0.225065909;0.712045455;247486.0682;0.654431818;6.19E-05;0.167438636;-6.037113636;0.107504545;98.43538636;0.634704545;57.04545455;1;0;44;;;;;;;;
Ashe;0.556333333;0.581;200227.6667;0.395333333;2.99E-06;0.141666667;-8.714666667;0.0413;119.8413333;0.251333333;79;10;1;3;;;;;;;;
Asher D;0.00154;0.556;253933;0.944;0.0295;0.209;-5.556;0.0296;128.012;0.341;51;1;0;2;;;;;;;;
Asher Roth;0.0897;0.713;241933;0.826;0;0.421;-4.075;0.243;86.444;0.664;62;8;1;2;;;;;;;;
Ashes Remain;0.0119;0.361;172960;0.871;0;0.318;-4.313;0.0393;176.026;0.575;50;8;1;2;;;;;;;;
Ashford & Simpson;0.34877;0.6351;332115.1;0.602;0.047362954;0.24858;-11.0638;0.05418;103.3639;0.7267;29.6;5;1;10;;;;;;;;
Ashia Llorente;0.876;0.702;192000;0.52;0.074;0.0572;-11.963;0.169;100.007;0.679;29;9;0;2;;;;;;;;
Ashik Hussain;0.9755;0.4585;195907.5;0.2095;0.47665;0.167;-12.8375;0.0741;71.395;0.6155;0;10;1;4;;;;;;;;
Ashima Banerjee;0.993;0.554;197137;0.0413;0.516;0.121;-12.907;0.119;72.627;0.737;0;4;0;2;;;;;;;;
Ashlee Simpson;0.02924225;0.533;219920;0.858;0.117;0.1031;-4.0275;0.06815;108.581;0.607;48.5;11;1;4;;;;;;;;
Ashleigh Anita;0.963;0.329;188000;0.228;5.73E-06;0.135;-8.566;0.03;90.952;0.16;0;1;1;2;;;;;;;;
Ashley Beedle;0.0134;0.732;433773;0.869;3.17E-05;0.0695;-5.147;0.0727;127.016;0.941;0;10;0;2;;;;;;;;
Ashley Lilley;0.0311;0.5685;209540;0.8665;0.000281735;0.3375;-4.43;0.03275;130.0445;0.665;63;2;1;2;;;;;;;;
Ashley Monroe;0.0356;0.52;224913.5;0.769;3.42E-06;0.16515;-4.7305;0.03185;130.5135;0.43;53.5;2;1;4;;;;;;;;
Ashley Smith;3.33E-05;0.442;259257;0.994;0.949;0.311;-7.219;0.0925;141.259;0.354;14;6;1;2;;;;;;;;
Ashley Tisdale;0.084153333;0.662833333;201617.8333;0.831666667;4.87E-06;0.19765;-3.808166667;0.089716667;124.8285;0.547166667;54.16666667;7;0;6;;;;;;;;
Ashley Tomberlin;0.00215;0.827;374829;0.265;0.396;0.0456;-7.948;0.0745;127.999;0.17;0;9;0;2;;;;;;;;
Ashley Wallbridge;0.000512388;0.47856;112401.48;0.8806;0.284295184;0.351304;-6.89276;0.081316;131.99444;0.367748;9.76;1;0;25;;;;;;;;
Ashnikko;0.117886667;0.806333333;162671.2667;0.627866667;2.63E-06;0.287546667;-6.123;0.129486667;122.7408667;0.628266667;67.8;2;1;15;;;;;;;;
Ashok Kumar;0.982098592;0.484816901;187490.662;0.283211268;0.671855012;0.237878873;-13.029;0.082356338;100.4980704;0.633760563;0;5;1;71;;;;;;;;
Ashoketaru Banerjee;0.987;0.334;279440;0.172;0.872;0.0865;-17.825;0.0362;111.268;0.196;0;9;1;2;;;;;;;;
Ashra;0.50104;0.335;440368.2;0.2608;0.8916;0.1554;-17.9402;0.03728;108.3094;0.26856;32.8;2;1;10;;;;;;;;
Ashraf Khan;0.962;0.373666667;207304.3333;0.232666667;0.283034333;0.4305;-10.68866667;0.144666667;73.15966667;0.510666667;0;4;1;6;;;;;;;;
Ashtro Bot;0.429;0.465;227291;0.854;0;0.618;-7.564;0.377;85.126;0.199;50;7;1;2;;;;;;;;
Ashwani Roddey;0.26;0.629;143672;0.957;0;0.324;-2.602;0.147;149.92;0.667;0;1;1;2;;;;;;;;
Asia;0.172586667;0.358533333;281324.4667;0.78;0.000237118;0.225353333;-8.7818;0.05582;127.0929333;0.411333333;36.8;0;0;30;;;;;;;;
Asian Tradition Universe;0.635405;0.55665;227047.75;0.507065;0.87543;0.2228;-13.7966;0.031465;124.9928;0.422;0;9;0;80;;;;;;;;
Asian Traditional Music;0.428390146;0.681073171;176441.0244;0.434917073;0.722708722;0.127897561;-14.98814634;0.053809756;132.2397805;0.568268293;1.463414634;7;1;41;;;;;;;;
Asima Panda;0.499;0.839;70450;0.942;0;0.0643;-3.935;0.237;120.073;0.913;1;2;1;4;;;;;;;;
Asimoúla Tsiámi;0.993;0.519;190093;0.308;0.000994;0.148;-12.288;0.0804;78.495;0.667;0;6;0;2;;;;;;;;
Asin;0.809333333;0.514333333;234671;0.363;0.12933453;0.161;-11.92366667;0.038266667;101.0583333;0.433666667;47.33333333;4;1;6;;;;;;;;
Asio (Aka R-Play);0.00463;0.76;510476;0.694;0.908;0.123;-9.668;0.0514;126.008;0.101;0;11;0;2;;;;;;;;
Asit Baran;0.953;0.471571429;176259;0.350285714;0.479419557;0.149857143;-13.05771429;0.052828571;106.0137143;0.520571429;0;7;1;7;;;;;;;;
Asketa;0.0987;0.406;175238;0.844;0.000135;0.335;-2.6;0.322;124.73;0.65;0;9;0;1;;;;;;;;
Asking Alexandria;0.009022714;0.323285714;242417.2857;0.914428571;8.21E-07;0.2968;-3.376;0.140771429;144.9281429;0.225085714;58.71428571;2;0;14;;;;;;;;
Asko Kamppi;0.859;0.78;156973;0.489;0;0.0942;-9.659;0.0872;121.268;0.922;26;8;0;2;;;;;;;;
Asleep At The Wheel;0.3922;0.6292;188741.6;0.5196;0.000324244;0.4086;-12.3054;0.05936;139.5582;0.8098;26.2;4;1;10;;;;;;;;
Asme;0.007713333;0.716333333;283345;0.520666667;0.741;0.487;-12.71733333;0.047233333;129.3336667;0.434;0;2;0;6;;;;;;;;
Aso;0.497;0.735;169519.2;0.206;0.8776;0.12044;-19.7926;0.3271;100.1028;0.3046;16;3;1;5;;;;;;;;
Asobi Seksu;0.0129;0.253;186387;0.808;0.0684;0.721;-6.926;0.0821;95.995;0.155;2;0;1;2;;;;;;;;
Aspin;0.000225;0.766;338086;0.715;0.314;0.035;-6.317;0.335;127.986;0.205;0;11;0;1;;;;;;;;
Assaf;0.073155469;0.620181818;154226.5455;0.774727273;0.495172727;0.248327273;-8.312272727;0.048572727;127.9990909;0.371254545;26.18181818;9;0;11;;;;;;;;
Assign Rhythm;0.00798;0.809;424521;0.754;0.91;0.168;-10.634;0.0812;123.991;0.139;1;5;0;2;;;;;;;;
Asswel;0.0466;0.559;161266;0.72;0.871;0.315;-7.727;0.0476;119.953;0.442;0;3;1;2;;;;;;;;
Asteroid;0.00324;0.412;248576;0.989;0.981;0.252;-6.141;0.154;138.843;0.115;17;9;0;2;;;;;;;;
Astor Piazzolla;0.94165;0.46195;181123.95;0.377325;0.7373;0.19638;-11.5722;0.038445;122.6385;0.5803;0.1;6;0;20;;;;;;;;
Astra Desmond;0.99475;0.39025;134656.75;0.0553;0.01446475;0.1345;-23.46475;0.056425;105.94525;0.42725;0;7;1;8;;;;;;;;
Astra Teck;1.68E-05;0.804;407092;0.505;0.814;0.107;-10.955;0.0576;125.007;0.108;0;7;1;3;;;;;;;;
Astral Decay;0.00909;0.306;111125;0.948;0;0.576;-0.8;0.546;167.501;0.502;0;11;1;2;;;;;;;;
Astrid S;0.356;0.612666667;202221.6667;0.597333333;2.40E-06;0.091366667;-5.705;0.072233333;121.403;0.417333333;57.33333333;7;0;6;;;;;;;;
Astrid Varnay;0.9542;0.3206;255583;0.254266667;0.065629868;0.469;-15.5014;0.06794;93.53566667;0.154453333;0;4;1;15;;;;;;;;
Astrid Varnay/Brünnhilde Friedland/Lieselotte Thomamüller/Elfriede Wild/Ruth Siewert/Eleanor Lausch/Hertha Töpper/Ira Malaniuk/Hanna Ludwig/Festspiel-Orchester Bayreuth /Herbert von Karajan;0.979;0.353;193800;0.427;2.64E-05;0.871;-11.196;0.0829;77.124;0.323;0;2;0;1;;;;;;;;
Astrid Varnay/Leonie Rysanek/Brünnhilde Friedland/Lieselotte Thomamüller/Elfriede Wild/Ruth Siewert/Eleanor Lausch/Hertha Töpper/Ira Malaniuk/Hanna Ludwig/Festspiel-Orchester Bayreuth /Herbert von Karajan;0.986;0.235;315107;0.391;1.57E-05;0.319;-10.248;0.0544;172.3;0.107;0;7;1;1;;;;;;;;
Astrid Varnay/Sigurd Björling/Festspiel-Orchester Bayreuth /Herbert von Karajan;0.981;0.2595;286147;0.283;0.001954;0.2315;-12.034;0.04325;76.0895;0.11305;0;7;1;2;;;;;;;;
Astro del Ciel;0.534;0.442;180000;0.543;0.919;0.17;-15.651;0.0396;108.041;0.116;0;9;1;2;;;;;;;;
AstroNivo;0.0258;0.807;436191;0.748;0.786;0.0939;-9.89;0.0498;126.011;0.0585;0;6;0;2;;;;;;;;
AstroPilot;0.841;0.0878;428762.5;0.2215;0.8835;0.1605;-17.6225;0.0353;72.5905;0.0399;10;10;0;4;;;;;;;;
AstroShift;0.00137;0.812;374979;0.71;0.194;0.069;-8.582;0.063;127.988;0.488;0;6;1;4;;;;;;;;
Astronautalis;0.624;0.657;244272;0.726;0.81;0.342;-7.095;0.123;110.123;0.461;3;0;0;2;;;;;;;;
Astronomyy;0.629;0.594;296267;0.481;0.0126;0.0939;-8.525;0.0353;144.941;0.0671;66;4;0;2;;;;;;;;
Astrud Gilberto;0.733566929;0.502070866;178050.2126;0.281701575;0.019530705;0.234266142;-16.34847244;0.065365354;115.6011102;0.50280315;34.17322835;5;1;127;;;;;;;;
Aswad;0.2988;0.7408;274920.2;0.3558;0.26207266;0.25204;-15.7372;0.22364;110.8348;0.7398;33.4;9;1;10;;;;;;;;
At The Drive In;0.037166667;0.402333333;208862;0.829333333;8.22E-05;0.389333333;-5.943;0.080133333;138.6616667;0.425;41.66666667;4;0;6;;;;;;;;
At The Gates;4.21E-06;0.189;187546.5;0.985;0.929;0.1291;-7.749;0.1475;101.9205;0.22005;46;7;1;4;;;;;;;;
Ataana Badilli;0.721;0.597;2252722;0.0942;0;0.588;-24.908;0.765;170.285;0.0936;0;4;0;2;;;;;;;;
Ataraxia;0.0511;0.416;199533;0.497;0.955;0.227;-16.261;0.0337;100.098;0.202;37;11;0;2;;;;;;;;
Atari Teenage Riot;0.03295925;0.412;249390;0.963;0.5841675;0.513;-5.48975;0.104025;111.307;0.080675;4.5;7;1;8;;;;;;;;
Ataulfo Alves;0.426;0.589;277307;0.421;0.497;0.193;-13.483;0.0604;130.272;0.705;23;0;1;1;;;;;;;;
Ataúlfo Argenta;0.94;0.398375;278446.5;0.33575;0.229265113;0.1477375;-10.560375;0.0459;113.01775;0.36425;8.375;5;1;8;;;;;;;;
Aterciopelados;0.08645;0.68125;189510.25;0.79075;3.72E-05;0.1626;-5.04125;0.065075;93.02225;0.77025;51.5;4;0;8;;;;;;;;
Aterrano;0.94;0.541;439653;0.0293;0.633;0.17;-30.941;0.0302;117.459;0.159;0;7;0;2;;;;;;;;
Athanase Sika;0.9345;0.419125;274583.375;0.58725;0.005906921;0.19445;-9.00925;0.0767;129.585375;0.3453375;0;2;1;16;;;;;;;;
Athanasia Atraidou;0.996;0.541;191627;0.47;9.68E-05;0.124;-4.943;0.039;127.243;0.806;0;4;1;2;;;;;;;;
Athanasia Atraidoy;0.996;0.541;191627;0.47;9.68E-05;0.124;-4.943;0.039;127.243;0.806;0;4;1;2;;;;;;;;
Athanasios;0.88;0.408;196067;0.527;0.0626;0.0989;-8.514;0.035;112.948;0.748;1;9;0;1;;;;;;;;
Athanasios Athanasiou;0.951;0.562;183133;0.606;0.2;0.0749;-9.918;0.0308;88.586;0.751;0;1;1;2;;;;;;;;
Athanasios Eugenikos;0.991666667;0.414;205849;0.494666667;0.6274;0.134666667;-12.906;0.057766667;112.6543333;0.81;0;1;1;3;;;;;;;;
Athanasios Lioysis-Klarino;0.993;0.411;205547;0.326;0.921;0.116;-13.466;0.0433;100.502;0.49;0;2;1;2;;;;;;;;
Athanasios Vrouvas;0.88;0.408;196067;0.527;0.0626;0.0989;-8.514;0.035;112.948;0.748;0;9;0;1;;;;;;;;
Athanasía Alexandropoúlou;0.959;0.603;214773;0.372;0.0129;0.174;-12.666;0.0741;118.351;0.901;0;8;0;2;;;;;;;;
Athanásios Kanéllis;0.985;0.625;209347;0.459;0.0562;0.0807;-11.081;0.0918;116.993;0.72;0;10;1;2;;;;;;;;
Athena Cage;0.484;0.699;264773;0.492;0;0.0482;-9.449;0.0318;117.907;0.388;63;9;0;2;;;;;;;;
Athena's Fury;0.81625;0.29725;280206.75;0.62175;6.15E-05;0.7115;-11.09925;0.10985;114.2015;0.4505;0;4;1;8;;;;;;;;
Atina Apostolova;0.578;0.5235;261686.5;0.481;0.00022975;0.4195;-10.173;0.03415;110.247;0.515;0.5;9;1;4;;;;;;;;
Atjazz;0.00264;0.796;506000;0.587;0.884;0.107;-9.603;0.0478;122;0.228;0;4;0;2;;;;;;;;
Atlanta;0.0607;0.402;214933;0.671;0;0.12;-10.099;0.0409;108.166;0.514;33;2;1;2;;;;;;;;
Atlanta Rhythm Section;0.306658824;0.573647059;270080;0.476588235;0.058112941;0.125988235;-12.323;0.031470588;114.8892353;0.700294118;31.52941176;9;1;34;;;;;;;;
Atlantic Holiday;0.0168;0.437;225688;0.802;0;0.086;-5.063;0.111;178.137;0.704;74;2;1;2;;;;;;;;
Atlantic Starr;0.376804286;0.636857143;295437.1429;0.425142857;0.000112902;0.149414286;-13.26385714;0.034985714;114.2240714;0.4615;38.57142857;0;1;28;;;;;;;;
Atlantis;7.52E-06;0.54;48680;0.983;0.943;0.105;-8.732;0.0708;137.996;0.396;20;10;0;1;;;;;;;;
Atlas;0.005976;0.7168;309383;0.6194;0.705;0.321;-5.4286;0.05058;127.9954;0.1156;0;9;1;5;;;;;;;;
Atlas Genius;0.0113;0.721;217387;0.822;7.01E-05;0.0898;-4.843;0.0391;140.002;0.536;59;7;1;2;;;;;;;;
Atmosphere;0.257935714;0.762857143;237731.4286;0.717214286;3.20E-05;0.320585714;-4.2685;0.266157143;101.0798571;0.678285714;44;7;1;28;;;;;;;;
Atmozfears;0.0162;0.513333333;178133.3333;0.961666667;0;0.158666667;-2.182;0.155833333;149.9176667;0.511333333;20.33333333;11;0;6;;;;;;;;
Atnarko;0.000395;0.804;387000;0.662;0.914;0.672;-7.338;0.0398;124.006;0.524;0;8;1;1;;;;;;;;
Atomic Kitten;0.038875;0.773;201059.75;0.6915;0.003815;0.08015;-3.27575;0.03415;101.2575;0.62725;51.25;7;1;8;;;;;;;;
Atomic Pulse;0.0218;0.558;443586;0.96;0.875;0.656;-8.103;0.059;145.025;0.309;25;6;1;2;;;;;;;;
Atomic Rooster;0.0414;0.396;250200;0.937;0.000606;0.898;-6.707;0.107;131.407;0.166;34;5;1;2;;;;;;;;
Atomic Swing;0.000319;0.314;180227;0.931;0.0968;0.369;-7.461;0.079;131.479;0.4;6;9;0;2;;;;;;;;
Atomiculture;0.000108;0.739;469333;0.862;0.854;0.104;-9.291;0.0489;135.006;0.026;0;7;1;4;;;;;;;;
Atreyu;0.000805525;0.377125;224753;0.927625;0.027510138;0.2168125;-4.566;0.11535;128.398375;0.401625;48.375;8;1;16;;;;;;;;
Attack Attack!;0.00349;0.248;202907;0.963;0.000301;0.277;-4.146;0.187;140.059;0.151;50;1;0;2;;;;;;;;
Attaque 77;0.00519;0.592;229507;0.51;0.00288;0.202;-12.316;0.0295;143.531;0.431;58;4;1;2;;;;;;;;
Attila;0.000476;0.594;157053;0.931;0.102;0.307;-4.612;0.0384;114.986;0.473;53;1;1;2;;;;;;;;
Attila Syah;0.0003317;0.45375;107479;0.925;0.48138325;0.6435;-7.63775;0.25875;134.2945;0.273975;19.5;1;1;4;;;;;;;;
Attila the Hun;0.9396;0.6077;174321.1;0.2705;0.047609138;0.22454;-13.401;0.16751;123.5761;0.8647;1.5;2;1;10;;;;;;;;
Attrition;0.622;0.445;123040;0.427;0.744;0.135;-16.417;0.0598;59.253;0.136;0;1;1;2;;;;;;;;
Atul Chaube;0.0398;0.581;318856;0.998;7.10E-05;0.359;0.239;0.123;149.982;0.769;0;0;1;2;;;;;;;;
Au/Ra;0.10248;0.5512;206302.4;0.582;2.26E-06;0.1278;-7.8014;0.05678;122.7916;0.23124;76.6;9;1;5;;;;;;;;
Aubrey Woods;0.636;0.4865;241793;0.5865;0;0.445;-10.8975;0.3455;142.312;0.616;39;7;1;4;;;;;;;;
Audible Doctor;0.011885833;0.6495;188094.5;0.515;0.686833333;0.155466667;-7.273666667;0.032933333;106.6601667;0.517833333;3.833333333;10;1;12;;;;;;;;
Audien;0.01541319;0.642857143;315374;0.857380952;0.588103046;0.282390476;-5.237571429;0.06627619;128.0969048;0.359428571;7.904761905;7;0;21;;;;;;;;
Audio Adrenaline;0.031885;0.738;203507;0.8445;1.19E-05;0.0832;-6.2475;0.06145;111.999;0.881;39.5;2;1;4;;;;;;;;
Audio Two;0.0102;0.913;175707;0.351;0;0.401;-13.57;0.354;91.499;0.727;40;10;0;2;;;;;;;;
Audio-Rarities;0.7545;0.5025;1124326.5;0.58;0.018525;0.413;-12.1545;0.2405;125.753;0.419;0;11;1;4;;;;;;;;
Audiocells;0.00058;0.55;59067;0.942;0;0.765;-6.534;0.235;129.976;0.652;5;4;0;1;;;;;;;;
Audiodub;0.0018;0.782;202387;0.569;0;0.115;-6.267;0.0413;96.085;0.742;45;0;1;2;;;;;;;;
Audiofire (UK);0.000111;0.556;431304;0.975;0.762;0.542;-4.734;0.0659;138.004;0.511;2;11;0;1;;;;;;;;
Audiofreq;0.0648;0.514;273600;0.993;0.206;0.1;-2.56;0.136;149.99;0.342;2;9;0;2;;;;;;;;
Audiojack;0.000453;0.799;467423;0.838;0.933;0.0775;-8.879;0.0486;124.005;0.412;7;7;1;2;;;;;;;;
Audioslave;0.037587971;0.445470588;275556.0588;0.730882353;0.004221675;0.187182353;-4.856352941;0.045111765;104.8024706;0.407352941;55.11764706;9;1;34;;;;;;;;
Audiotricz;0.0258;0.547;198400;0.826;6.27E-06;0.0889;-3.288;0.0414;150.039;0.227;33;9;0;2;;;;;;;;
Audiovent;1.40E-05;0.429;253144;0.934;0.00168;0.246;-6.66;0.122;134.577;0.16;40;2;1;2;;;;;;;;
Audra Mae;0.0159;0.67;243459;0.393;0.000307;0.104;-9.158;0.122;77.461;0.193;53;9;1;2;;;;;;;;
Audrey Gallagher;0.002448169;0.479846154;176004.2308;0.933576923;0.286797177;0.392369231;-7.295884615;0.0653;136.3601923;0.496769231;7.230769231;6;1;26;;;;;;;;
Audrey Hepburn;0.887133333;0.357133333;190364.4667;0.260333333;0.055980533;0.159606667;-13.08573333;0.040373333;120.7388667;0.31114;19.46666667;7;0;15;;;;;;;;
Audrey Mika;0.0449;0.497;205165;0.757;0;0.119;-4.189;0.127;169.902;0.507;74;11;1;2;;;;;;;;
Audyaroad;0.0011;0.502;212743;0.885;2.67E-05;0.104;-5.426;0.0321;88.073;0.641;0;4;0;2;;;;;;;;
Augie Rios;0.614333333;0.692666667;133098.3333;0.544666667;0;0.089866667;-7.265333333;0.0373;118.3296667;0.918333333;23.66666667;5;1;6;;;;;;;;
August Alsina;0.040215556;0.552888889;259992.7778;0.618888889;1.71E-07;0.339744444;-6.712;0.1397;122.6978889;0.285111111;60.77777778;1;0;9;;;;;;;;
August Burns Red;1.45E-05;0.217;245911;0.976666667;0.180666667;0.258666667;-4.315666667;0.108433333;127.0723333;0.238666667;47.66666667;10;1;6;;;;;;;;
August Jaresch;0.902846154;0.323615385;271310.6154;0.091953846;0.002425037;0.208538462;-23.69392308;0.054376923;97.25307692;0.233861538;0;0;1;13;;;;;;;;
August Vila;0.00168;0.541;390779;0.995;0.864;0.805;-9.157;0.0694;139.998;0.679;0;3;0;2;;;;;;;;
Augusta All Stars;0.159;0.552;319240;0.874;0;0.97;-5.403;0.0552;97.064;0.586;2;6;0;2;;;;;;;;
Augustana;0.182;0.404;245933;0.571;2.08E-05;0.129;-5.069;0.0303;147.01;0.29;63;0;1;2;;;;;;;;
Augustin Lehfuss;0.481;0.635;172000;0.527;0;0.198;-7.824;0.0559;108.741;0.65;21;0;1;2;;;;;;;;
Augustin Ramirez;0.488;0.802;182821;0.292;0.00792;0.111;-11.687;0.0731;105.151;0.959;14;5;1;2;;;;;;;;
Augustus Pablo;0.156435333;0.7902;174165.8667;0.456933333;0.761066667;0.11126;-11.51853333;0.094053333;117.0532667;0.5504;33.2;9;1;30;;;;;;;;
Auli'i Cravalho;0.72225;0.447875;138758.625;0.340375;0.0114875;0.1323;-11.44775;0.0589375;115.4105;0.248075;65.5;4;1;8;;;;;;;;
Aunt Molly Jackson;0.955;0.639;161200;0.0255;2.97E-05;0.146;-20.47;0.0985;58.66;0.635;8;8;1;1;;;;;;;;
Aura;0.0191;0.688;427885;0.988;0.864;0.0444;-3.511;0.0698;127.996;0.184;0;11;0;2;;;;;;;;
Aura Qualic;0.797;0.186;99352;0.464;0.906;0.732;-13.075;0.0434;110.876;0.125;4;11;1;2;;;;;;;;
Aurelio Voltaire;0.3715;0.511;274870.5;0.759;0.00107;0.1206;-7.771;0.07325;142.748;0.6845;49.5;2;1;4;;;;;;;;
Aurora Cattelani;0.971666667;0.397;249635.3333;0.236666667;0.024108233;0.408;-14.497;0.046733333;118.407;0.244;1;2;1;3;;;;;;;;
Aurora Cattelani/Coro del Teatro alla Scala; Milano/Orchestra del Teatro alla Scala; Milano/Tullio Serafin;0.978;0.7;42573;0.168;9.23E-06;0.516;-15.757;0.064;39.205;0.614;0;0;1;1;;;;;;
Aurora Miranda;0.90675;0.714;164632;0.40725;0.004919645;0.169975;-9.9345;0.091675;112.21925;0.87;3;8;1;8;;;;;;;;
Aurosonic;0.0089831;0.5705;249909.5;0.8754;0.17564385;0.36285;-6.4156;0.091395;128.08145;0.46944;14.55;11;0;20;;;;;;;;
Aurra;0.07655;0.76475;344672.75;0.78375;0.01958915;0.137175;-8.934;0.0631;112.4415;0.925;29.5;7;1;8;;;;;;;;
Aurèle Nicolet;0.973;0.321;392000;0.0692;0.961;0.175;-26.67;0.0521;78.423;0.227;41;0;1;1;;;;;;;;
Austin Banks;0.398;0.749;184333;0.705;0;0.0824;-7.049;0.0818;90.031;0.309;5;8;0;2;;;;;;;;
Austin Feinstein;0.334;0.352;409779;0.693;6.21E-05;0.611;-7.412;0.361;88.855;0.348;60;10;0;2;;;;;;;;
Austin Mahone;0.078886667;0.709333333;219706.3333;0.738666667;6.33E-07;0.163333333;-5.386;0.033566667;128.628;0.761333333;67.33333333;11;1;3;;;;;;;;
Austin Moon;0.01263;0.589;193853.5;0.79;0;0.08125;-5.655;0.1053;134.993;0.489;53.5;2;1;4;;;;;;;;
Austin Roberts;0.277;0.595;222013;0.545;0;0.0725;-11.741;0.0405;142.329;0.883;25;0;1;2;;;;;;;;
Australian Crawl;0.135908333;0.658666667;271442.6667;0.679833333;0.002725833;0.202533333;-7.6335;0.0326;114.6285;0.620666667;53.66666667;2;1;12;;;;;;;;
Austyn Johnson;0.726;0.253;60453;0.139;5.01E-05;0.269;-17.067;0.0414;74.369;0.102;67;6;1;1;;;;;;;;
Autarchii;0.222;0.675;201693;0.739;0;0.33;-5.929;0.288;134.085;0.648;2;1;1;1;;;;;;;;
Autechre;0.0139;0.751;480133;0.61;0.913;0.089;-14.946;0.043;125.237;0.0375;43;5;1;2;;;;;;;;
Authority Zero;0.0539;0.422;280980;0.928;6.00E-07;0.245;-3.997;0.1227;122.881;0.35;48.5;11;1;4;;;;;;;;
Auto-Auto;0.1108135;0.6445;246396.5;0.7055;0.0501015;0.1153;-7.6605;0.03285;135.057;0.4155;0;1;1;4;;;;;;;;
Autograph;0.024284857;0.552571429;264843.8571;0.850714286;0.002087539;0.201842857;-10.16614286;0.053585714;136.0437143;0.46;34.71428571;6;1;14;;;;;;;;
Autoheart;0.1965;0.683;204786;0.46;4.26E-06;0.089;-10.548;0.0322;112.0605;0.7335;53;11;1;4;;;;;;;;
Ava Gardner;0.9755;0.343;203166.5;0.01856;1.83E-05;0.10425;-22.9655;0.0443;90.874;0.146;13.5;3;1;4;;;;;;;;
Ava Max;0.21036;0.6535;173602.6667;0.637333333;0;0.134833333;-4.649833333;0.0436;129.1311667;0.504;78.5;1;1;12;;;;;;;;
Ava Mea;1.30E-06;0.398;43547;0.888;0.955;0.515;-12.597;0.0461;132.255;0.622;9;11;0;2;;;;;;;;
Avail;0.000251;0.279;192853;0.984;0.135;0.135;-3.688;0.102;105.223;0.363;41;7;1;2;;;;;;;;
Avalon;0.0188;0.572;280493;0.872;0;0.129;-5.093;0.0676;94.032;0.381;42;10;1;2;;;;;;;;
Avancada;0.000703;0.5485;98742;0.918;0.8845;0.345;-5.431;0.0436;131.5435;0.267;14.5;3;0;2;;;;;;;;
Avant;0.193335294;0.706705882;258552.8824;0.528764706;1.14E-05;0.157435294;-5.700470588;0.053294118;123.7357647;0.576705882;50.58823529;8;0;17;;;;;;;;
Avantasia;0.0058;0.363;687867;0.953;0.0132;0.965;-3.351;0.0597;93.03;0.168;6;11;0;2;;;;;;;;
Avao;0.004698658;0.60725;51473;0.83675;0.24242725;0.3775;-6.86575;0.076425;134.4295;0.381375;10.75;7;1;8;;;;;;;;
Avbeoud;0.00478;0.667;311367;0.368;0.894;0.0694;-10.874;0.105;127.997;0.0716;0;1;0;2;;;;;;;;
Ave Sangria;0.702;0.7;174689;0.569;1.40E-06;0.114;-6.156;0.0476;85.696;0.789;42;6;1;2;;;;;;;;
Avelino Muñoz;0.669686275;0.724431373;169092.6078;0.514568627;0.304148185;0.171427451;-11.31752941;0.139854902;108.8923137;0.719117647;0;7;1;51;;;;;;;;
Avenax;0.000191;0.613;438481;0.801;0.0488;0.133;-7.7;0.0457;129.997;0.156;12;1;0;4;;;;;;;;
Avenged Sevenfold;0.013312876;0.448;349053.8049;0.890390244;0.026673944;0.200746341;-5.061463415;0.064890244;138.1964634;0.368473171;57.80487805;2;0;82;;;;;;;;
Aventura;0.394478571;0.800297619;261319.5357;0.584083333;0.005154102;0.191583333;-8.474166667;0.049692857;129.8214286;0.875035714;57.27380952;0;0;84;;;;;;;;
Avenue Beat;0.587;0.702;181852;0.597;3.62E-06;0.112;-7.067;0.207;85.016;0.383;72;2;1;2;;;;;;;;
